index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	化学系	013	助教	004	安藤	吉勇	あ	あんどう	よしお	1	Yoshio	Ando	化学系	013	化学コース	013																									有機合成化学	Synthetic organic chemistry	天然物合成	Natural product synthesis	新規反応開発	Development of new synthetic method			http://www.org-synth.chem.sci.titech.ac.jp/suzukilab/	http://www.org-synth.chem.sci.titech.ac.jp/suzukilab/?page_id=31	key_rid=5000085816		ｱﾝﾄﾞｳ	ﾖｼｵ		
	化学系	013	教授	001	石内	俊一	あ	いしうち	しゅんいち	2	Shun-ichi	Ishiuchi	化学系	013	化学コース	013																									分子分光学	Molecular spectroscopy	生体分子の気相分光	Gas phase spectroscopy of biomolecules					http://www.csd.res.titech.ac.jp/index.html		key_rid=5000085864		ｲｼｳﾁ	ｼｭﾝｲﾁ		
	化学系	013	助教	004	石田	豊	あ	いしだ	ゆたか	2	Yutaka	Ishida	化学系	013	化学コース	013																									錯体化学	Coordination chemistry	有機金属化学	Organometallic chemistry	典型元素化学	Main group chemistry			http://www.chemistry.titech.ac.jp/~kawaguchi/index.html		key_rid=1000370349		ｲｼﾀﾞ	ﾕﾀｶ		
	化学系	013	教授	001	石谷	治	あ	いしたに	おさむ	2	Osamu	Ishitani	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					光反応化学	Photochemical reaction	金属錯体の光機能	Photochemistry of metal complexes 	光触媒	Photocatalysts	人工光合成	Artificial photosynthesis	http://www.chemistry.titech.ac.jp/~ishitani/index.html	http://www.chemistry.titech.ac.jp/~ishitani/en/index_en.html	key_rid=5000039835		ｲｼﾀﾆ	ｵｻﾑ		
	化学系	013	教授	001	岩澤	伸治	あ	いわさわ	のぶはる	2	Nobuharu	Iwasawa	化学系	013	化学コース	013	化学系	013	エネルギーコース	001																					有機合成化学	Synthetic organic chemistry	有機金属化学	Organometallic chemistry	有機反応化学	Organic reactions	超分子化学	Supramolecular chemistry	http://www.chemistry.titech.ac.jp/~iwasawa/index.html	http://www.chemistry.titech.ac.jp/~iwasawa/index.html	key_rid=1000279016		ｲﾜｻﾜ	ﾉﾌﾞﾊﾙ		
	化学系	013	准教授	002	植草	秀裕	あ	うえくさ	ひでひろ	5	Hidehiro	Uekusa	化学系	013	化学コース	013																									有機結晶化学	Organic crystal chemistry	構造化学	Structural chemistry	機能性材料科学	Functional materials science	物理薬剤学	Physical pharmacy	http://www.cms.titech.ac.jp/~uekusa/	http://www.cms.titech.ac.jp/~uekusa/	key_rid=1000275595		ｳｴｸｻ	ﾋﾃﾞﾋﾛ		
	化学系	013	教授	001	江口	正	あ	えぐち	ただし	1	Tadashi	Eguchi	化学系	013	化学コース	013																									天然物有機化学	Natural product chemistry	生物有機化学	Bioorganic chemistry	生化学	Biochemistry			http://www.cms.titech.ac.jp/~eguchi/index.html	http://www.cms.titech.ac.jp/~eguchi/index.html	key_rid=1000015915		ｴｸﾞﾁ	ﾀﾀﾞｼ		
	化学系	013	教授	001	大島	康裕	あ	おおしま	やすひろ	3	Yasuhiro	Ohshima	化学系	013	化学コース	013	化学系	013	エネルギーコース	001																					物理化学	Physical chemistry	分子分光学	Molecular spectroscopy	レーザー科学	Laser science	フェムト秒化学	Femto-chemistry	http://www.chemistry.titech.ac.jp/~ohshima/index.html	http://www.chemistry.titech.ac.jp/~ohshima/index_e.html	key_rid=1000011637		ｵｵｼﾏ	ﾔｽﾋﾛ		
	化学系	013	助教	004	大津	博義	あ	おおつ	ひろよし	3	Hiroyoshi	Ohtsu	化学系	013	化学コース	013																																	http://www.chemistry.titech.ac.jp/~kawano/	http://www.chemistry.titech.ac.jp/~kawano/index-e.html	key_t2r2Rid=CTT100703967		ｵｵﾂ	ﾋﾛﾖｼ		
	化学系	013	助教	004	大塚	拓洋	あ	おおつか	たくひろ	3	Takuhiro	Otsuka	化学系	013	化学コース	013																									金属錯体の光化学	Photo-chemistry of metal-complex 									key_rid=1000275592		ｵｵﾂｶ	ﾀｸﾋﾛ		
	化学系	013	准教授	002	大森	建	あ	おおもり	けん	3	Ken	Ohmori	化学系	013	化学コース	013																									有機化学	Organic chemistry	有機合成化学	Organic synthesis	天然物合成	Natural product synthesis			http://www.org-synth.chem.sci.titech.ac.jp/suzukilab/	http://www.org-synth.chem.sci.titech.ac.jp/suzukilab/?page_id=31	key_rid=1000275609		ｵｵﾓﾘ	ｹﾝ		
	化学系	013	教授	001	岡田	哲男	あ	おかだ	てつお	3	Tetsuo	Okada	化学系	013	化学コース	013	化学系	013	エネルギーコース	001																					分析化学	Analytical chemistry	溶液化学	Solution chemistry	界面化学	Interfacial chemistry	マイクロ・ナノ化学	Micro/Nano chemistry	http://www.chemistry.titech.ac.jp/~okada/	http://www.chemistry.titech.ac.jp/english/chemistry/s_okada.html	key_rid=1000022856		ｵｶﾀﾞ	ﾃﾂｵ		
	化学系	013	准教授	002	沖本	洋一	あ	おきもと	よういち	3	Yoichi	Okimoto	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					固体化学	Sokid state chemistry	固体の光物性	Optical properties in solids	超高速分光	Ultrafast spectroscopy	酸化物エレクトロニクス	Oxide electronics	http://www.pipt.sci.titech.ac.jp/	http://www.pipt.sci.titech.ac.jp/en/	key_rid=5000087480		ｵｷﾓﾄ	ﾖｳｲﾁ		
	化学系	013	助教	004	小澤	健一	あ	おざわ	けんいち	3	Kenichi	Ozawa	化学系	013	化学コース	013																									表面科学	Surface science	固体表面の物理化学	Physical chemistry of solid surfaces	酸化物エレクトロニクス	Oxide electronics	表面界面の化学状態分析	Chemical state analysis of surfaces and interfaces			key_rid=1000203970		ｵｻﾞﾜ	ｹﾝｲﾁ		
	化学系	013	准教授	002	小野	公輔	あ	おの	こうすけ	3	Kosuke	Ono	化学系	013	化学コース	013																									超分子化学	Supramolecular chemistry	構造有機化学	Structural organic chemistry					http://www.chemistry.titech.ac.jp/~goto/index.html	http://www.chemistry.titech.ac.jp/~goto/index.html	key_rid=6000023119		ｵﾉ	ｺｳｽｹ		
	化学系	013	助教	004	金子	哲	か	かねこ	さとし	3	Satoshi	Kaneko	化学系	013	化学コース	013																									物理化学	Physical chemistry	単分子科学	Single molecule science							key_rid=B000300053		ｶﾈｺ	ｻﾄｼ		
	化学系	013	教授	001	川口	博之	か	かわぐち	ひろゆき	3	Hiroyuki	Kawaguchi	化学系	013	化学コース	013																									錯体化学	Coordination chemistry									key_rid=1000182377		ｶﾜｸﾞﾁ	ﾋﾛﾕｷ		
	化学系	013	教授	001	河野	正規	か	かわの	まさき	3	Masaki	Kawano	化学系	013	化学コース	013																									錯体化学	Coordination chemistry	無機化学	Inorganic chemistry	超分子化学	Supramolecular chemistry	結晶化学	Chemical crystallography	http://www.chemistry.titech.ac.jp/~kawano/	http://www.chemistry.titech.ac.jp/~kawano/index-e.html	key_t2r2Rid=CTT100697198		ｶﾜﾉ	ﾏｻｷ		
	化学系	013	准教授	002	北島	昌史	か	きたじま	まさし	3	Masashi	Kitajima	化学系	013	化学コース	013																									原子・分子衝突	Atomic and molecular collision	配向分子－電子衝突	Molecular frame electron scattering	電子Cold Collision	Cold electron collision			http://www.chemistry.titech.ac.jp/~kitajima/index.html		key_rid=1000293761		ｷﾀｼﾞﾏ	ﾏｻｼ		
	化学系	013	准教授	002	工藤	史貴	か	くどう	ふみたか	3	Fumitaka	Kudo	化学系	013	化学コース	013																									天然物化学	Natural product chemistry	生物有機化学	Bioorganic chemistry	生化学	Biochemistry	酵素学	Enzymology	http://www.cms.titech.ac.jp/~eguchi/	http://www.cms.titech.ac.jp/~eguchi/index.html	key_rid=6000024103		ｸﾄﾞｳ	ﾌﾐﾀｶ		
	化学系	013	助教	004	鍬野	哲	か	くわの	さとる	3	Satoru	Kuwano	化学系	013	化学コース	013																									有機化学	Organic chemistry	元素化学	Element chemistry	超分子化学	Supramolecular chemistry			https://www.goto-ono-group.com/	https://www.goto-ono-group.com/			ｸﾜﾉ	ｻﾄﾙ		
	化学系	013	教授	001	腰原	伸也	か	こしはら	しんや	3	Shinya	Koshihara	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					光物性	Optical properties of solids	超高速レーザー	Ultrashort pulsed laser	固体物理	Solid state physics	物理化学	Chemical physics	http://www.pipt.sci.titech.ac.jp/	http://www.pipt.sci.titech.ac.jp/en/	key_rid=1000275596		ｺｼﾊﾗ	ｼﾝﾔ		
	化学系	013	教授	001	後藤	敬	か	ごとう	けい	2	Kei	Goto	化学系	013	化学コース	013																									有機化学	Organic chemistry	元素化学	Element chemistry	超分子化学	Supramolecular chemistry	生体機能関連化学	Biofunctional chemistry	http://www.chemistry.titech.ac.jp/~goto/index.html	http://www.chemistry.titech.ac.jp/~goto/index.html	key_rid=1000185178		ｺﾞﾄｳ	ｹｲ		
	化学系	013	教授	001	小松	隆之	か	こまつ	たかゆき	3	Takayuki	Komatsu	化学系	013	化学コース	013																									触媒	Catalyst	金属間化合物	Intermetallic compound	合金	Alloy	エネルギーキャリア	Energy carrier	http://www.cms.titech.ac.jp/~komatsu/index.htm	http://www.chemistry.titech.ac.jp/~komatsu/en/index.html	key_rid=1000015932		ｺﾏﾂ	ﾀｶﾕｷ		
	化学系	013	助教	004	関根	あき子	さ	せきね	あきこ	4	Akiko	Sekine	化学系	013	化学コース	013																									X線結晶化学	X-ray crystal chemistry	有機結晶化学	Organic crystal chemistry	有機固体光化学	Organic solid photochemistry			http://www.cms.titech.ac.jp/~uekusa/		key_rid=1000203975		ｾｷﾈ	ｱｷｺ		
	化学系	013	助教	004	髙橋	講平	た	たかはし	こうへい	4	Kohei	Takahashi	化学系	013	化学コース	013																									有機金属化学	Organometallic chemistry	均一系触媒反応	Homogeneous catalysis	超分子化学	Supramolecular chemistry			http://www.chemistry.titech.ac.jp/~iwasawa/index.html		key_t2r2Rid=CTT100686078		ﾀｶﾊｼ	ｺｳﾍｲ		
	化学系	013	准教授	002	鷹谷	絢	た	たかや	じゅん	4	Jun	Takaya	化学系	013	化学コース	013																									有機金属化学	Organometallic chemistry	有機合成化学	Synthetic organic chemistry	有機化学	Organic chemistry			http://www.chemistry.titech.ac.jp/~iwasawa/index.html		key_rid=6000003419		ﾀｶﾔ	ｼﾞｭﾝ		
	化学系	013	助教	004	髙山	大鑑	た	たかやま	ともあき	4	Tomoaki	Takayama	化学系	013	化学コース	013																									触媒化学	Catalytic chemistry	光電気化学	Photoelectrochemistry	金属間化合物	Intermetallic compound	合金	Alloy	http://www.chemistry.titech.ac.jp/~komatsu/index.htm	http://www.chemistry.titech.ac.jp/~komatsu/en/index.html	key_t2r2Rid=CTT100740875		ﾀｶﾔﾏ	ﾄﾓｱｷ		
	化学系	013	助教	004	鶴巻	英治	た	つるまき	えいじ	4	Eiji	Tsurumaki	化学系	013	化学コース	013																									物理有機化学	Physical organic chemistry	構造有機化学	Structural organic chemistry	有機典型元素化学	Organoelement chemisrty	芳香族化合物	Aromatic compounds	http://www.cms.titech.ac.jp/~toyota/index.html	http://www.cms.titech.ac.jp/~toyota/index.html	key_t2r2Rid=CTT100699459		ﾂﾙﾏｷ	ｴｲｼﾞ		
	化学系	013	講師	003	寺田	暁彦	た	てらだ	あきひこ	4	Akihiko	Terada	化学系	013	化学コース	013																									地球化学	Geochemistory	火山物理学	Volcano physics	地学	Earth sciense	防災	Disaster prevention	http://www.ksvo.titech.ac.jp/~terada/index.htm		key_t2r2Rid=CTT100620162		ﾃﾗﾀﾞ	ｱｷﾋｺ		
	化学系	013	教授	001	豊田	真司	た	とよた	しんじ	4	Shinji	Toyota	化学系	013	化学コース	013																									構造有機化学	Structural organic chemistry	物理有機化学	Physical organic chemistry	立体化学	Stereochemistry	有機合成	Organic synthesis	http://www.cms.titech.ac.jp/~toyota/	http://www.cms.titech.ac.jp/labo09-e/tran_09_eng.html	key_rid=1000113855		ﾄﾖﾀ	ｼﾝｼﾞ		
	化学系	013	特任助教	008	鳥海	尚之	た	とりうみ	なおゆき	4	Naoyuki	Toriumi	化学系	013	化学コース	013																									有機金属化学	Organometallic chemistry	構造有機化学	Structural organic chemistry	光化学	Photochemistry			http://www.chemistry.titech.ac.jp/~iwasawa/index.html	http://www.chemistry.titech.ac.jp/~iwasawa/index.html	key_rid=B000315489		ﾄﾘｳﾐ	ﾅｵﾕｷ		
	化学系	013	准教授	002	西野	智昭	な	にしの	ともあき	3	Tomoaki	Nishino	化学系	013	化学コース	013																									物理化学	Physical chemistry	単分子	Single molecule	バイオ分析	Bioanalysis	分子認識	Molecular recognition	http://www.chemistry.titech.ac.jp/~nishino/index.html	http://www.chemistry.titech.ac.jp/~nishino/en/index.html	key_t2r2Rid=CTT100691227		ﾆｼﾉ	ﾄﾓｱｷ		
	化学系	013	教授	001	野上	健治	な	のがみ	けんじ	3	Kenji	Nogami	化学系	013	化学コース	013																									地球化学	Geochemistry	火山学	Volcanology							key_rid=1000275679		ﾉｶﾞﾐ	ｹﾝｼﾞ		
	化学系	013	助教	004	原田	誠	は	はらだ	まこと	2	Makoto	Harada	化学系	013	化学コース	013																									溶液化学	Solution chemistry	分析化学	Analytical chemistry	Ｘ線分析	X-ray analysis	XAFS	XAFS	http://www.chemistry.titech.ac.jp/~okada/		key_rid=1000279264		ﾊﾗﾀﾞ	ﾏｺﾄ		
	化学系	013	准教授	002	福原	学	は	ふくはら	がく	2	Gaku	Fukuhara	化学系	013	化学コース	013																									分析化学	Analytical chemistry	超分子化学	Supramolecular chemistry	光化学	Photochemistry	高分子化学	Polymer chemistry	http://www.chemistry.titech.ac.jp/~okada/index.html	http://www.chemistry.titech.ac.jp/english/chemistry/s_okada.html	key_rid=5000083571		ﾌｸﾊﾗ	ｶﾞｸ		
	化学系	013	特任准教授	006	藤井	慎太郎	は	ふじい	しんたろう	2	Shintaro	Fujii	化学系	013	化学コース	013																																			key_rid=5000040116		ﾌｼﾞｲ	ｼﾝﾀﾛｳ		
	化学系	013	助教	004	穂坂	綱一	は	ほさか	こういち	2	Kouichi	Hosaka	化学系	013	化学コース	013																									分子の多電子励起状態	Doubly excited states of molecules	光解離片のもつれ	Entanglement of photofragmentss	電子衝突過程	Electron impact process			http://www.chemistry.titech.ac.jp/~kouchi/index.html		key_rid=6000023118		ﾎｻｶ	ｺｳｲﾁ		
	化学系	013	准教授	002	前田	和彦	ま	まえだ	かずひこ	3	Kazuhiko	Maeda	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					光触媒	Photocatalyst	人工光合成	Artificial photosynthesis	光電気化学	Photoelectrochemistry	ナノ材料	Nanomaterials	http://www.chemistry.titech.ac.jp/~ishitani/member/kmaeda/Home.html	http://www.chemistry.titech.ac.jp/~ishitani/member/kmaeda/Home.html	key_rid=6000015609		ﾏｴﾀﾞ	ｶｽﾞﾋｺ		
	化学系	013	特任教授	005	松本	隆也	ま	まつもと	たかや	3	Takaya	Matsumoto	化学系	013	化学コース	013																																			key_t2r2Rid=CTT100734011		ﾏﾂﾓﾄ	ﾀｶﾔ		
	化学系	013	助教	004	水瀬	賢太	ま	みずせ	けんた	3	Kenta	Mizuse	化学系	013	化学コース	013																									レーザー化学	Laser chemistry	超高速化学	Ultrafast chemistry	クラスター化学	Cluster chemistry	化学反応動力学	Chemical reaction dynamics	http://www.chemistry.titech.ac.jp/~ohshima/index.html	http://www.chemistry.titech.ac.jp/~ohshima/index_e.html	key_t2r2Rid=CTT100683965		ﾐｽﾞｾ	ｹﾝﾀ		
	化学系	013	助教	004	宮永	顕正	ま	みやなが	あきまさ	3	Akimasa	Miyanaga	化学系	013	化学コース	013																									生化学	Biochemistry	天然物化学	Natural product chemistry	酵素学	Enzymology	構造生物学	Structural biology			key_rid=5000090599		ﾐﾔﾅｶﾞ	ｱｷﾏｻ		
	化学系	013	准教授	002	山﨑	優一	や	やまざき	まさかず	5	Masakazu	Yamazaki	化学系	013	化学コース	013																									物理化学	Physical chemistry	原子分子物理学	Atomic and molecular physics	電子分光	Electron spectroscopy	反応動力学	Reaction Dynamics	http://www.chemistry.titech.ac.jp/~ohshima/	http://www.chemistry.titech.ac.jp/~ohshima/index_e.html	key_rid=6000017666		ﾔﾏｻﾞｷ	ﾏｻｶｽﾞ		
	化学系	013	助教	004	山科	雅裕	や	やましな	まさひろ	5	Masahiro	Yamashina	化学系	013	化学コース	013																									超分子化学	Supramolecular chemistry	ナノ空間化学	Nanospace chemistry	錯体化学	Coordination chemistry	構造有機化学	Structural organic chemistry	http://www.chemistry.titech.ac.jp/~toyota/index.html	http://www.chemistry.titech.ac.jp/~toyota/index-en.html	key_t2r2Rid=CTT100621951		ﾔﾏｼﾅ	ﾏｻﾋﾛ		
	化学系	013	特任助教	008	ユーソフ	パベル	や	ゆーそふ	ぱべる	5	Pavel	Usov	化学系	013	化学コース	013																																					ﾕｰｿﾌ	ﾊﾟﾍﾞﾙ		
	化学系	013	特任准教授	006	ユーハス	ゲルゲリ	や	ゆーはす	げるげり	2	Juhasz	Gergely	化学系	013	化学コース	013																																			key_rid=5000025689		ﾕｰﾊｽ	ｹﾞﾙｹﾞﾘ		
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
